area_util,banheiros,suites,quartos,vagas_garagem,preco_venda,bairro,tipo_imovel,tipo_imovel_recategorized
748,90.0,3.0,1.0,3.0,2.0,420000,Jardim Londrina,Apartamento,Apartamento
751,63.0,2.0,1.0,3.0,1.0,255499,Cidade São Francisco,Apartamento,Apartamento
752,140.0,4.0,1.0,3.0,3.0,532000,Vila Campo Grande,Casa,Casa
756,100.0,2.0,1.0,3.0,2.0,455000,Campo Limpo,Condomínio,Outro
776,95.0,2.0,1.0,3.0,2.0,385000,Jardim Londrina,Apartamento,Apartamento
777,34.0,1.0,0.0,1.0,1.0,373100,Pinheiros,Apartamento,Apartamento
783,60.0,2.0,0.0,2.0,1.0,161000,Parada XV de Novembro,Condomínio,Outro
786,150.0,3.0,1.0,3.0,2.0,489999,Chácara Belenzinho,Casa de dois andares,Casa
787,70.0,3.0,2.0,2.0,1.0,244999,Vila Medeiros,Condomínio,Outro
788,52.0,1.0,0.0,1.0,1.0,416500,Vila Olímpia,Flat,Apartamento
789,90.0,1.0,0.0,3.0,1.0,325500,Vila Matilde,Apartamento,Apartamento
790,53.0,1.0,1.0,1.0,1.0,315000,Moema,Flat,Apartamento
796,52.0,1.0,0.0,2.0,1.0,244999,Vila Carrao,Apartamento,Apartamento
798,105.0,1.0,1.0,3.0,1.0,560000,Itaim Bibi,Apartamento,Apartamento
799,40.0,1.0,0.0,1.0,1.0,232399,Bela Vista,Flat,Apartamento
803,118.0,2.0,1.0,3.0,2.0,475999,Lauzane Paulista,Apartamento,Apartamento
807,162.0,3.0,1.0,3.0,2.0,595000,Água Fria,Cobertura,Apartamento
808,89.0,2.0,0.0,2.0,1.0,227500,Tucuruvi,Condomínio,Outro
809,74.0,2.0,1.0,3.0,2.0,346500,Vila Guilherme,Apartamento,Apartamento
810,60.0,3.0,1.0,2.0,1.0,378000,Santa Terezinha,Apartamento,Apartamento
